C1015389,Relays,Power Relays,JW2HN-B-DC48V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW2HN-B-DC48V_C1015389.pdf,1000-:2.459842520,200-499:2.596850394,30-199:6.708661417,1-9:6.708661417,500-999:2.505511811,10-29:6.708661417,0,
C1015390,Relays,Power Relays,JW2AHN-DC9V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW2AHN-DC9V_C1015390.pdf,1000-:2.108661417,200-499:2.225196850,30-199:5.749606299,1-9:5.749606299,500-999:2.148031496,10-29:5.749606299,0,
C1015391,Relays,Power Relays,JW2AHN-DC6V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW2AHN-DC6V_C1015391.pdf,1000-:2.108661417,200-499:2.225196850,30-199:5.749606299,1-9:5.749606299,500-999:2.148031496,10-29:5.749606299,0,
C1015392,Relays,Power Relays,JW1SN-DC24V,Though hole,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1SN-DC24V_C1015392.pdf,500-999:2.113385827,1-9:5.659842520,10-29:5.659842520,30-199:5.659842520,200-499:2.190551181,1000-:2.075590551,0,
C1015393,Relays,Power Relays,JW1SN-B-DC12V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1SN-B-DC12V_C1015393.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015395,Relays,Power Relays,JW1ASN-DC9V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1ASN-DC9V-F_C1015395.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015396,Relays,Power Relays,JW1ASN-B-DC24V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1ASN-B-DC24V-F_C1015396.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1015397,Relays,Power Relays,JW1HN-B-DC9V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1HN-B-DC9V_C1015397.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015398,Relays,Power Relays,JW1SN-B-DC24V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1SN-B-DC24V_C1015398.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1015399,Relays,Power Relays,JW1FHN-B-DC5V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1FHN-B-DC5V_C1015399.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015400,Relays,Power Relays,JW1HN-B-DC24V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1HN-B-DC24V_C1015400.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1015402,Relays,Power Relays,JW1FHN-B-DC24V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1FHN-B-DC24V_C1015402.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1015404,Relays,Power Relays,JW1AHN-B-DC48V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1AHN-B-DC48V-F_C1015404.pdf,1000-:2.209448819,200-499:2.332283465,30-199:6.023622047,1-9:6.023622047,500-999:2.250393701,10-29:6.023622047,0,
C1015405,Relays,Power Relays,JW2AHN-DC24V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW2AHN-DC24V_C1015405.pdf,1000-:2.209448819,200-499:2.332283465,30-199:6.023622047,1-9:6.023622047,500-999:2.250393701,10-29:6.023622047,0,
C1015406,Relays,Power Relays,JW1AFHN-B-DC48V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1AFHN-B-DC48V-F_C1015406.pdf,1000-:2.209448819,200-499:2.332283465,30-199:6.023622047,1-9:6.023622047,500-999:2.250393701,10-29:6.023622047,0,
C1015407,Relays,Power Relays,JW2HN-B-DC24V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW2HN-B-DC24V_C1015407.pdf,1000-:2.376377953,200-499:2.508661417,30-199:6.480314961,1-9:6.480314961,500-999:2.420472441,10-29:6.480314961,0,
C1015408,Relays,Power Relays,JW1SN-B-DC6V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1SN-B-DC6V_C1015408.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015409,Relays,Power Relays,JW1HN-B-DC5V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251235_PANASONIC-JW1HN-B-DC5V_C1015409.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015411,Relays,Power Relays,JW1ASN-DC6V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1ASN-DC6V-F_C1015411.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015413,Relays,Power Relays,JW1ASN-DC5V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1ASN-DC5V-F_C1015413.pdf,1000-:2.360629921,200-499:2.491338583,30-199:6.434645669,1-9:6.434645669,500-999:2.403149606,10-29:6.434645669,0,
C1015414,Relays,Power Relays,JW1ASN-B-DC12V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1ASN-B-DC12V-F_C1015414.pdf,1000-:2.360629921,200-499:2.491338583,30-199:6.434645669,1-9:6.434645669,500-999:2.403149606,10-29:6.434645669,0,
C1015415,Relays,Power Relays,JW1AHN-B-DC5V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1AHN-B-DC5V-F_C1015415.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015416,Relays,Power Relays,JW1FHN-DC24V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1FHN-DC24V_C1015416.pdf,1000-:2.075590551,200-499:2.190551181,30-199:5.659842520,1-9:5.659842520,500-999:2.113385827,10-29:5.659842520,0,
C1015418,Relays,Power Relays,JW1ASN-DC24V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251305_PANASONIC-JW1ASN-DC24V-F_C1015418.pdf,1000-:2.075590551,200-499:2.190551181,30-199:5.659842520,1-9:5.659842520,500-999:2.113385827,10-29:5.659842520,0,
C1015419,Relays,Power Relays,JW2AHN-B-DC5V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251305_PANASONIC-JW2AHN-B-DC5V_C1015419.pdf,1000-:2.141732283,200-499:2.261417323,30-199:5.840944882,1-9:5.840944882,500-999:2.181102362,10-29:5.840944882,0,
C1015421,Relays,Power Relays,JW1HN-DC48V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251305_PANASONIC-JW1HN-DC48V_C1015421.pdf,1000-:2.141732283,200-499:2.261417323,30-199:5.840944882,1-9:5.840944882,500-999:2.181102362,10-29:5.840944882,0,
C1015422,Relays,Power Relays,JW2HN-DC24V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251305_PANASONIC-JW2HN-DC24V_C1015422.pdf,1000-:2.360629921,200-499:2.491338583,30-199:6.434645669,1-9:6.434645669,500-999:2.403149606,10-29:6.434645669,0,
C1015423,Relays,Power Relays,JW1FHN-DC48V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251305_PANASONIC-JW1FHN-DC48V_C1015423.pdf,1000-:2.141732283,200-499:2.261417323,30-199:5.840944882,1-9:5.840944882,500-999:2.181102362,10-29:5.840944882,0,
C1015424,Relays,Power Relays,JW1AFHN-DC6V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251333_PANASONIC-JW1AFHN-DC6V-F_C1015424.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015425,Relays,Power Relays,JW2AHN-B-DC48V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2AHN-B-DC48V_C1015425.pdf,1000-:2.310236220,200-499:2.437795276,30-199:6.297637795,1-9:6.297637795,500-999:2.352755906,10-29:6.297637795,0,
C1015426,Relays,Power Relays,JW2HN-B-DC12V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2HN-B-DC12V_C1015426.pdf,1000-:2.292913386,200-499:2.420472441,30-199:6.251968504,1-9:6.251968504,500-999:2.335433071,10-29:6.251968504,0,
C1015427,Relays,Power Relays,JW2AHN-DC48V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2AHN-DC48V_C1015427.pdf,1000-:2.292913386,200-499:2.420472441,30-199:6.251968504,1-9:6.251968504,500-999:2.335433071,10-29:6.251968504,0,
C1015428,Relays,Power Relays,JW2HN-B-DC5V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2HN-B-DC5V_C1015428.pdf,1000-:2.292913386,200-499:2.420472441,30-199:6.251968504,1-9:6.251968504,500-999:2.335433071,10-29:6.251968504,0,
C1015429,Relays,Power Relays,JW1AFHN-B-DC12V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1AFHN-B-DC12V-F_C1015429.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015430,Relays,Power Relays,JW1SN-DC12V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1SN-DC12V_C1015430.pdf,1000-:3.078740157,200-499:3.250393701,30-199:8.396850394,1-9:8.396850394,500-999:3.135433071,10-29:8.396850394,0,
C1015431,Relays,Power Relays,JW1HN-DC24V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1HN-DC24V_C1015431.pdf,1000-:2.075590551,200-499:2.190551181,30-199:5.659842520,1-9:5.659842520,500-999:2.113385827,10-29:5.659842520,0,
C1015432,Relays,Power Relays,JW2HN-B-DC6V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2HN-B-DC6V_C1015432.pdf,1000-:2.292913386,200-499:2.420472441,30-199:6.251968504,1-9:6.251968504,500-999:2.335433071,10-29:6.251968504,0,
C1015433,Relays,Power Relays,JW1AFHN-B-DC9V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1AFHN-B-DC9V-F_C1015433.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015434,Relays,Power Relays,JW1AFHN-DC24V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1AFHN-DC24V-F_C1015434.pdf,1000-:2.275590551,200-499:2.403149606,30-199:6.206299213,1-9:6.206299213,500-999:2.318110236,10-29:6.206299213,0,
C1015435,Relays,Power Relays,JW2HN-DC6V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2HN-DC6V_C1015435.pdf,1000-:2.275590551,200-499:2.403149606,30-199:6.206299213,1-9:6.206299213,500-999:2.318110236,10-29:6.206299213,0,
C1015437,Relays,Power Relays,JW2HN-DC5V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW2HN-DC5V_C1015437.pdf,1000-:2.275590551,200-499:2.403149606,30-199:6.206299213,1-9:6.206299213,500-999:2.318110236,10-29:6.206299213,0,
C1015438,Relays,Power Relays,JW1SN-DC6V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1SN-DC6V_C1015438.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015439,Relays,Power Relays,JW1HN-B-DC48V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251306_PANASONIC-JW1HN-B-DC48V_C1015439.pdf,1000-:2.176377953,200-499:2.296062992,30-199:5.932283465,1-9:5.932283465,500-999:2.215748031,10-29:5.932283465,0,
C1015440,Relays,Power Relays,JW1AFHN-DC48V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1AFHN-DC48V-F_C1015440.pdf,1000-:2.176377953,200-499:2.296062992,30-199:5.932283465,1-9:5.932283465,500-999:2.215748031,10-29:5.932283465,0,
C1015441,Relays,Power Relays,JW1FHN-B-DC48V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1FHN-B-DC48V_C1015441.pdf,1000-:2.176377953,200-499:2.296062992,30-199:5.932283465,1-9:5.932283465,500-999:2.215748031,10-29:5.932283465,0,
C1015442,Relays,Power Relays,JW1AHN-DC48V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1AHN-DC48V-F_C1015442.pdf,1000-:2.176377953,200-499:2.296062992,30-199:5.932283465,1-9:5.932283465,500-999:2.215748031,10-29:5.932283465,0,
C1015443,Relays,Power Relays,JW1ASN-DC48V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1ASN-DC48V-F_C1015443.pdf,1000-:2.176377953,200-499:2.296062992,30-199:5.932283465,1-9:5.932283465,500-999:2.215748031,10-29:5.932283465,0,
C1015444,Relays,Power Relays,JW1SN-B-DC5V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1SN-B-DC5V_C1015444.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015446,Relays,Power Relays,JW1AFHN-DC9V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1AFHN-DC9V-F_C1015446.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015447,Relays,Power Relays,JW1SN-B-DC9V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1SN-B-DC9V_C1015447.pdf,1000-:1.992125984,200-499:2.102362205,30-199:5.431496063,1-9:5.431496063,500-999:2.028346457,10-29:5.431496063,0,
C1015448,Relays,Power Relays,JW2AHN-B-DC6V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW2AHN-B-DC6V_C1015448.pdf,1000-:2.141732283,200-499:2.261417323,30-199:5.840944882,1-9:5.840944882,500-999:2.181102362,10-29:5.840944882,0,
C1015449,Relays,Power Relays,JW1AFHN-DC12V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1AFHN-DC12V-F_C1015449.pdf,1000-:2.560629921,200-499:2.702362205,30-199:6.982677165,1-9:6.982677165,500-999:2.607874016,10-29:6.982677165,0,
C1015450,Relays,Power Relays,JW1ASN-B-DC6V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251307_PANASONIC-JW1ASN-B-DC6V-F_C1015450.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015451,Relays,Power Relays,JW1AFHN-B-DC24V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251333_PANASONIC-JW1AFHN-B-DC24V-F_C1015451.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1019849,Relays,Power Relays,2027395-7,RELAY-TH,4,TE Connectivity,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2107280540_TE-Connectivity-2027395-7_C1019849.pdf,1000-:1.681889764,200-499:1.774803150,30-199:4.585826772,1-9:4.585826772,500-999:1.713385827,10-29:4.585826772,0,
C10496,Relays,Reed Relays,SIP-1A05,RELAY-TH_SIP-1A05,4,PAN CHANG,Extended,SPST - NO 5V@DC Nolocking Through Hole Reed Relays ROHS,https://datasheet.lcsc.com/lcsc/1809191913_PAN-CHANG-SIP-1A05_C10496.pdf,1-9:0.918110236,10-29:0.771653543,30-99:0.664566929,100-499:0.576377953,500-999:0.562204724,1000-1999:0.554330709,2000-3999:0.549606299,4000-:0.544881890,541,
C10497,Relays,Reed Relays,SIP-1A12,RELAY-TH_SIP-1AXX,4,PAN CHANG,Extended,SPST - NO 100V@Max 100V@Max 1A 12V@DC Nolocking Through Hole Reed Relays ROHS,https://datasheet.lcsc.com/lcsc/1809141612_PAN-CHANG-SIP-1A12_C10497.pdf,1-9:0.903937008,10-29:0.755905512,30-99:0.648818898,100-499:0.560629921,500-999:0.544881890,1000-1999:0.537007874,2000-3999:0.532283465,4000-:0.527559055,78,
C10498,Relays,Reed Relays,SIP-1A24,RELAY-TH_SIP-1AXX,4,PAN CHANG,Extended,SPST - NO 100V@Max 1A 24V@DC Nolocking Through Hole Reed Relays ROHS,https://datasheet.lcsc.com/lcsc/1809141612_PAN-CHANG-SIP-1A24_C10498.pdf,1-9:1.000000000,10-29:0.811023622,30-99:0.674015748,100-499:0.560629921,500-999:0.541732283,1000-1999:0.532283465,2000-3999:0.524409449,4000-:0.519685039,15,
C106971,Relays,Power Relays,HF46F-G/12-HS1,RELAYS-TH_HF46F-G_+_XX-HS1-XXX,4,HF(Xiamen Hongfa Electroacoustic),Extended,General Purpose 12VDC SPST-NO 7A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1810010212_HF-Xiamen-Hongfa-Electroacoustic-HF46F-G-12-HS1_C106971.pdf,1-9:0.806299213,10-29:0.677165354,30-99:0.584251969,100-499:0.507086614,500-999:0.494488189,1000-1999:0.486614173,2000-3999:0.481889764,4000-:0.478740157,128,
C108358,Relays,Power Relays,307H-1AH-F-C12VDC,RELAY-TH_307H-1AH-F-C-12VDC,4,Song Chuan,Extended,General Purpose 12VDC SPST-NO 10A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1811032310_Song-Chuan-307H-1AH-F-C12VDC_C108358.pdf,1-9:0.807874016,10-29:0.680314961,30-99:0.587401575,100-499:0.510236220,500-999:0.497637795,1000-1999:0.491338583,2000-3999:0.485039370,4000-:0.481889764,0,
C110086,Relays,Power Relays,HK3FF-DC6V-SHG,RELAY-TH,5,Ningbo Keke New Era Appliance,Extended,General Purpose 6VDC SPDT 10A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1811011513_Ningbo-Keke-New-Era-Appliance-HK3FF-DC6V-SHG_C110086.pdf,500-999:0.333858268,4000-:0.322834646,30-99:0.404724409,2000-3999:0.324409449,1-9:0.577952756,10-29:0.477165354,100-499:0.343307087,1000-1999:0.329133858,37,
C111537,Relays,Power Relays,HF46F-G/12-HS1T,RELAYS-TH_HF46F-G_+_XX-HS1-XXX,4,HF(Xiamen Hongfa Electroacoustic),Extended,General Purpose 12VDC SPST-NO 7A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1810231713_HF-Xiamen-Hongfa-Electroacoustic-HF46F-G-12-HS1T_C111537.pdf,1-9:0.703937008,10-29:0.571653543,30-99:0.475590551,100-499:0.395275591,500-999:0.382677165,1000-1999:0.376377953,2000-3999:0.370078740,4000-:0.366929134,4090,
C112250,Relays,Power Relays,HF49FD/024-1H12,RELAY-TH_HF49FD-0XX-1H12,4,HF(Xiamen Hongfa Electroacoustic),Extended,General Purpose 24VDC SPST-NO 5A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1810181021_HF-Xiamen-Hongfa-Electroacoustic-HF49FD-024-1H12_C112250.pdf,1-9:1.092913386,10-29:0.888188976,30-99:0.740157480,100-499:0.617322835,500-999:0.595275591,1000-1999:0.585826772,2000-3999:0.577952756,4000-:0.573228346,5862,
C112536,Relays,Power Relays,943-1C-24DS,RELAY-TH_943-1C-XX,5,Hsin Da Precision,Extended,General Purpose 24VDC SPDT 15A Non Latching Through Hole Power Relays ROHS,https://datasheet.lcsc.com/lcsc/1811131221_Hsin-Da-Precision-943-1C-24DS_C112536.pdf,10-29:0.486614173,4000-:0.324409449,1-9:0.592125984,30-99:0.411023622,100-499:0.346456693,1000-1999:0.330708661,500-999:0.337007874,2000-3999:0.327559055,656,
